populationId,TN,ADAP_E,PD1P_E,MDAP_E,y,EM-FL,FL-SH,FL-SD,generationId,IP
28,6,,-0.194029850746269,-0.054945054945055,-8.120059,1.075,1.333,0.868,10,FALSE
28,7,,0.209302325581395,0.0126582278481013,-8.120059,1.075,1.333,0.868,10,FALSE
28,8,,0.0196078431372549,0.0357142857142857,-8.120059,1.075,1.333,0.868,10,FALSE
28,9,,0,0.0581395348837209,-8.120059,1.075,1.333,0.868,10,FALSE
29,1,,0.19047619047619,0.152777777777778,-6.62032,0.97,1.293,0.861,10,FALSE
29,2,,0.0833333333333333,0.0609756097560976,-6.62032,0.97,1.293,0.861,10,FALSE
29,3,,-0.0181818181818182,-0.0444444444444444,-6.62032,0.97,1.293,0.861,10,FALSE
29,4,,0,0.024390243902439,-6.62032,0.97,1.293,0.861,10,FALSE
29,5,,-0.0925925925925926,-0.1,-6.62032,0.97,1.293,0.861,10,FALSE
29,6,,-0.253731343283582,-0.0989010989010989,-6.62032,0.97,1.293,0.861,10,FALSE
29,7,,0.0930232558139535,-0.0379746835443038,-6.62032,0.97,1.293,0.861,10,FALSE
29,8,,-0.0588235294117647,-0.0119047619047619,-6.62032,0.97,1.293,0.861,10,FALSE
29,9,,-0.107142857142857,0.0116279069767442,-6.62032,0.97,1.293,0.861,10,FALSE
30,1,,0.19047619047619,0.152777777777778,-6.643534,0.984,1.157,0.848,10,FALSE
30,2,,0.0833333333333333,0.0609756097560976,-6.643534,0.984,1.157,0.848,10,FALSE
30,3,,-0.0181818181818182,-0.0444444444444444,-6.643534,0.984,1.157,0.848,10,FALSE
30,4,,-0.0185185185185185,0.0365853658536585,-6.643534,0.984,1.157,0.848,10,FALSE
30,5,,-0.0925925925925926,-0.1,-6.643534,0.984,1.157,0.848,10,FALSE
30,6,,-0.253731343283582,-0.0989010989010989,-6.643534,0.984,1.157,0.848,10,FALSE
30,7,,0.0930232558139535,-0.0379746835443038,-6.643534,0.984,1.157,0.848,10,FALSE
30,8,,-0.0588235294117647,-0.0119047619047619,-6.643534,0.984,1.157,0.848,10,FALSE
30,9,,-0.107142857142857,0.0116279069767442,-6.643534,0.984,1.157,0.848,10,FALSE
31,1,,0.19047619047619,0.152777777777778,-6.643534,0.984,1.157,0.848,10,FALSE
31,2,,0.0833333333333333,0.0609756097560976,-6.643534,0.984,1.157,0.848,10,FALSE
31,3,,-0.0181818181818182,-0.0444444444444444,-6.643534,0.984,1.157,0.848,10,FALSE
31,4,,-0.0185185185185185,0.0365853658536585,-6.643534,0.984,1.157,0.848,10,FALSE
31,5,,-0.0925925925925926,-0.1,-6.643534,0.984,1.157,0.848,10,FALSE
31,6,,-0.253731343283582,-0.0989010989010989,-6.643534,0.984,1.157,0.848,10,FALSE
31,7,,0.0930232558139535,-0.0379746835443038,-6.643534,0.984,1.157,0.848,10,FALSE
31,8,,-0.0588235294117647,-0.0119047619047619,-6.643534,0.984,1.157,0.848,10,FALSE
31,9,,-0.107142857142857,0.0116279069767442,-6.643534,0.984,1.157,0.848,10,FALSE
32,1,,0.19047619047619,0.152777777777778,-6.643534,0.984,1.157,0.848,10,FALSE
32,2,,0.0833333333333333,0.0609756097560976,-6.643534,0.984,1.157,0.848,10,FALSE
32,3,,-0.0181818181818182,-0.0444444444444444,-6.643534,0.984,1.157,0.848,10,FALSE
32,4,,-0.0185185185185185,0.0365853658536585,-6.643534,0.984,1.157,0.848,10,FALSE
32,5,,-0.0925925925925926,-0.1,-6.643534,0.984,1.157,0.848,10,FALSE
32,6,,-0.253731343283582,-0.0989010989010989,-6.643534,0.984,1.157,0.848,10,FALSE
32,7,,0.0930232558139535,-0.0379746835443038,-6.643534,0.984,1.157,0.848,10,FALSE
32,8,,-0.0588235294117647,-0.0119047619047619,-6.643534,0.984,1.157,0.848,10,FALSE
32,9,,-0.107142857142857,0.0116279069767442,-6.643534,0.984,1.157,0.848,10,FALSE
33,1,,0.19047619047619,0.152777777777778,-6.64372,0.97,1.293,0.848,10,FALSE
33,2,,0.0833333333333333,0.0487804878048781,-6.64372,0.97,1.293,0.848,10,FALSE
33,3,,-0.0181818181818182,-0.0444444444444444,-6.64372,0.97,1.293,0.848,10,FALSE
33,4,,0,0.024390243902439,-6.64372,0.97,1.293,0.848,10,FALSE
33,5,,-0.0925925925925926,-0.1,-6.64372,0.97,1.293,0.848,10,FALSE
33,6,,-0.253731343283582,-0.10989010989011,-6.64372,0.97,1.293,0.848,10,FALSE
33,7,,0.0930232558139535,-0.0379746835443038,-6.64372,0.97,1.293,0.848,10,FALSE
33,8,,-0.0588235294117647,-0.0119047619047619,-6.64372,0.97,1.293,0.848,10,FALSE
33,9,,-0.107142857142857,0.0116279069767442,-6.64372,0.97,1.293,0.848,10,FALSE
34,1,,0.19047619047619,0.152777777777778,-6.62032,0.97,1.293,0.861,10,FALSE
34,2,,0.0833333333333333,0.0609756097560976,-6.62032,0.97,1.293,0.861,10,FALSE
34,3,,-0.0181818181818182,-0.0444444444444444,-6.62032,0.97,1.293,0.861,10,FALSE
34,4,,0,0.024390243902439,-6.62032,0.97,1.293,0.861,10,FALSE
34,5,,-0.0925925925925926,-0.1,-6.62032,0.97,1.293,0.861,10,FALSE
34,6,,-0.253731343283582,-0.0989010989010989,-6.62032,0.97,1.293,0.861,10,FALSE
34,7,,0.0930232558139535,-0.0379746835443038,-6.62032,0.97,1.293,0.861,10,FALSE
34,8,,-0.0588235294117647,-0.0119047619047619,-6.62032,0.97,1.293,0.861,10,FALSE
34,9,,-0.107142857142857,0.0116279069767442,-6.62032,0.97,1.293,0.861,10,FALSE
35,1,,0.19047619047619,0.152777777777778,-6.64372,0.97,1.293,0.848,10,FALSE
35,2,,0.0833333333333333,0.0487804878048781,-6.64372,0.97,1.293,0.848,10,FALSE
35,3,,-0.0181818181818182,-0.0444444444444444,-6.64372,0.97,1.293,0.848,10,FALSE
35,4,,0,0.024390243902439,-6.64372,0.97,1.293,0.848,10,FALSE
35,5,,-0.0925925925925926,-0.1,-6.64372,0.97,1.293,0.848,10,FALSE
35,6,,-0.253731343283582,-0.10989010989011,-6.64372,0.97,1.293,0.848,10,FALSE
35,7,,0.0930232558139535,-0.0379746835443038,-6.64372,0.97,1.293,0.848,10,FALSE
35,8,,-0.0588235294117647,-0.0119047619047619,-6.64372,0.97,1.293,0.848,10,FALSE
35,9,,-0.107142857142857,0.0116279069767442,-6.64372,0.97,1.293,0.848,10,FALSE
36,1,,0.19047619047619,0.152777777777778,-6.62032,0.97,1.293,0.861,10,FALSE
36,2,,0.0833333333333333,0.0609756097560976,-6.62032,0.97,1.293,0.861,10,FALSE
36,3,,-0.0181818181818182,-0.0444444444444444,-6.62032,0.97,1.293,0.861,10,FALSE
36,4,,0,0.024390243902439,-6.62032,0.97,1.293,0.861,10,FALSE
36,5,,-0.0925925925925926,-0.1,-6.62032,0.97,1.293,0.861,10,FALSE
36,6,,-0.253731343283582,-0.0989010989010989,-6.62032,0.97,1.293,0.861,10,FALSE
36,7,,0.0930232558139535,-0.0379746835443038,-6.62032,0.97,1.293,0.861,10,FALSE
36,8,,-0.0588235294117647,-0.0119047619047619,-6.62032,0.97,1.293,0.861,10,FALSE
36,9,,-0.107142857142857,0.0116279069767442,-6.62032,0.97,1.293,0.861,10,FALSE
37,1,,0.214285714285714,0.166666666666667,-6.780661,0.983,1.343,0.922,10,FALSE
37,2,,0.104166666666667,0.0731707317073171,-6.780661,0.983,1.343,0.922,10,FALSE
37,3,,0,-0.0333333333333333,-6.780661,0.983,1.343,0.922,10,FALSE
37,4,,0,0.0487804878048781,-6.780661,0.983,1.343,0.922,10,FALSE
37,5,,-0.0925925925925926,-0.0888888888888889,-6.780661,0.983,1.343,0.922,10,FALSE
37,6,,-0.238805970149254,-0.0879120879120879,-6.780661,0.983,1.343,0.922,10,FALSE
37,7,,0.116279069767442,-0.0253164556962025,-6.780661,0.983,1.343,0.922,10,FALSE
37,8,,-0.0588235294117647,0,-6.780661,0.983,1.343,0.922,10,FALSE
37,9,,-0.0892857142857143,0.0232558139534884,-6.780661,0.983,1.343,0.922,10,FALSE
38,1,,0.0952380952380952,0.111111111111111,-7.979728,0.888,1.106,0.845,10,FALSE
38,2,,-0.0208333333333333,0.0121951219512195,-7.979728,0.888,1.106,0.845,10,FALSE
38,3,,-0.0909090909090909,-0.0777777777777778,-7.979728,0.888,1.106,0.845,10,FALSE
38,4,,-0.0925925925925926,-0.0121951219512195,-7.979728,0.888,1.106,0.845,10,FALSE
